,Day,Campaign name,Ad Set Name,Ad name,Reach,Impressions,Frequency,Result type,Results,Amount spent (EUR),Cost per result,"CPM (cost per 1,000 impressions)",CPC (cost per link click),"Cost per 1,000 Accounts Center accounts reached",Cost per ThruPlay,3sek % Impression,25% in % Impressions,50% in % Impression,75% in % Impression,95% in % Impressions,100% in % Impressions,ThruPlay % Impression,CTR (all),CTR (link click-through rate),ThruPlays,Video average play time,Video plays,Cost per 3-second video play,Reporting starts,Reporting ends
89,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_FB_WK2_w_Conversion,DE0000_Run2_FB_WWS2_WK2_w_Conversion,2525,3636,1.44,Link clicks,23.0,21.82,0.94869565,6.00110011,0.94869565,8.64158416,0.46425532,0.14576458,0.11468647,0.04070407,0.02090209,0.01375138,0.01347635,0.01292629,1.12761276,0.63256326,47.0,2.0,3135.0,0.04116981,2021-09-24,2021-09-24
90,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_WK3_w_Conversion,DE0000_Run2_IG_WWS2_WK3_w_Conversion,1904,3657,1.92069328,Link clicks,82.0,44.47,0.54231707,12.16024063,0.54231707,23.35609244,1.93347826,0.02898551,0.02105551,0.03855619,0.00929724,0.00793,0.00765655,0.00628931,2.24227509,2.24227509,23.0,0.0,3545.0,0.4195283,2021-09-24,2021-09-24
91,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_WK1_m_Conversion,DE0000_Run2_IG_WWS2_WK1_m_Conversion,1221,2006,1.64291564,Link clicks,41.0,29.18,0.71170732,14.54636092,0.71170732,23.8984439,1.71647059,0.05034895,0.03489531,0.03838485,0.01296112,0.01046859,0.00997009,0.00847458,2.04386839,2.04386839,17.0,1.0,1942.0,0.28891089,2021-09-24,2021-09-24
92,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_WK2_w_Conversion,DE0000_Run2_IG_WWS2_WK2_w_Conversion,1073,2018,1.88070829,Link clicks,72.0,30.8,0.42777778,15.26263627,0.42777778,28.70456664,1.54,0.04112983,0.03171457,0.05054509,0.01189296,0.01090188,0.01090188,0.0099108,3.71655104,3.567889,20.0,1.0,1964.0,0.37108434,2021-09-24,2021-09-24
93,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_FB_WK3_w_Conversion,DE0000_Run2_FB_WWS2_WK3_w_Awareness,3575,5353,1.49734266,Link clicks,17.0,23.37,1.37470588,4.3657762,1.37470588,6.53706294,0.53113636,0.11993275,0.09490006,0.03045021,0.01662619,0.01064823,0.01027461,0.00821969,0.57911452,0.31757893,44.0,1.0,4647.0,0.03640187,2021-09-24,2021-09-24
94,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_WK3_m_Conversion,DE0000_Run2_IG_WWS2_WK3_m_Conversion,773,1384,1.79042691,Link clicks,23.0,15.29,0.66478261,11.04768786,0.66478261,19.78007762,1.529,0.03179191,0.02095376,0.03395954,0.00939306,0.00722543,0.00722543,0.00722543,1.66184971,1.66184971,10.0,0.0,1330.0,0.3475,2021-09-24,2021-09-24
95,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK1_w_IG_Consideration,DE0000_WK1_w_IG_Digitalisierung,2537,2628,1.03586914,ThruPlay,159.0,30.46,0.19157233,11.59056317,4.35142857,12.00630666,0.19157233,0.13432268,0.11872146,0.0848554,0.07229833,0.06316591,0.06050228,0.06050228,0.26636225,0.26636225,159.0,1.0,2560.0,0.08628895,2021-09-24,2021-09-24
96,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK3_w_FB_Consideration,DE0000_WK3_w_FB_Digitalisierung,1231,1856,1.5077173,ThruPlay,50.0,9.48,0.1896,5.10775862,9.48,7.70105605,0.1896,0.1794181,0.15140086,0.05657328,0.03340517,0.02909483,0.02640086,0.02693966,0.16163793,0.05387931,50.0,3.0,1626.0,0.02846847,2021-09-24,2021-09-24
97,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK3_w_IG_Consideration,DE0000_WK3_w_IG_Digitalisierung,2066,2235,1.08180058,ThruPlay,171.0,19.69,0.1151462,8.8098434,3.938,9.53049371,0.1151462,0.13333333,0.12662192,0.10111857,0.08411633,0.07785235,0.07651007,0.07651007,0.22371365,0.22371365,171.0,2.0,2160.0,0.06607383,2021-09-24,2021-09-24
98,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK2_w_IG_Consideration,DE0000_WK2_w_IG_Digitalisierung,2097,2255,1.07534573,ThruPlay,165.0,25.64,0.15539394,11.37028825,3.205,12.22699094,0.15539394,0.15033259,0.1405765,0.09578714,0.07937916,0.07317073,0.07317073,0.07317073,0.44345898,0.35476718,165.0,2.0,2193.0,0.07563422,2021-09-24,2021-09-24
